customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7624-BNRTQ,Male,0,No,No,53,Yes,Yes,Fiber optic,Yes,One year,No,Credit card (automatic),77.90,4099.53,No
2957-WLXMK,Female,0,Yes,No,39,Yes,No,DSL,No,Two year,No,Bank transfer (automatic),45.55,1726.42,No
6280-XQNFP,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,109.30,725.48,Yes
9613-KHRBL,Female,1,Yes,Yes,61,No,No phone service,DSL,Yes,One year,No,Mailed check,38.65,2318.73,No
3946-BNTWX,Male,0,No,No,34,Yes,No,Fiber optic,No,Month-to-month,No,Credit card (automatic),90.45,3045.62,Yes
7279-XLQFK,Female,0,Yes,No,48,Yes,Yes,DSL,Yes,Two year,No,Bank transfer (automatic),63.20,3003.87,No
1502-WRNPJ,Male,0,No,Yes,15,Yes,No,Fiber optic,Yes,Month-to-month,Yes,Electronic check,80.55,1178.63,Yes
4835-XKBTM,Female,1,Yes,No,70,No,No phone service,No,No internet service,Two year,No,Mailed check,18.75,1272.88,No
8168-QLHWF,Male,0,No,No,26,Yes,Yes,DSL,No,One year,No,Credit card (automatic),52.40,1332.48,No
2491-BNRXK,Female,0,Yes,Yes,43,Yes,No,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),97.15,4147.53,Yes
5824-XWTQP,Male,0,No,No,57,Yes,Yes,DSL,Yes,Two year,No,Electronic check,65.80,3740.67,No
9157-KLNFJ,Female,1,Yes,No,19,No,No phone service,DSL,No,Month-to-month,No,Mailed check,32.90,595.42,Yes
3480-QRXWM,Male,0,No,Yes,36,Yes,No,Fiber optic,Yes,One year,Yes,Credit card (automatic),74.35,2646.73,No
6813-XBNPK,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,106.50,183.37,Yes
1146-WKTQF,Male,0,No,No,65,Yes,No,DSL,No,Two year,No,Bank transfer (automatic),40.25,2586.58,No
4479-XLHRJ,Female,1,Yes,No,50,No,No phone service,DSL,Yes,One year,No,Mailed check,35.70,1755.42,No
7702-BNQWX,Male,0,No,Yes,11,Yes,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),94.80,1012.55,Yes
2035-XRNFP,Female,0,Yes,No,44,Yes,No,DSL,Yes,Two year,No,Electronic check,58.95,2564.37,No
5368-WLBTK,Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic),85.10,2353.68,No
8691-QKXWM,Female,1,Yes,Yes,60,No,No phone service,No,No internet service,One year,No,Mailed check,23.45,1377.42,No
3924-XNRPJ,Male,0,No,No,37,Yes,No,DSL,No,Month-to-month,Yes,Electronic check,44.80,1628.53,Yes
7257-BLHFQ,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,Two year,No,Credit card (automatic),89.65,4721.87,No
1580-XQNTK,Male,0,No,Yes,5,Yes,No,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),78.30,361.82,Yes
4913-WKRXF,Female,1,Yes,Yes,69,No,No phone service,DSL,Yes,One year,No,Mailed check,37.55,2571.28,No
8246-BNLQP,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Month-to-month,No,Electronic check,103.20,2240.63,Yes
2579-XHWTJ,Female,0,Yes,No,46,Yes,No,DSL,No,Two year,No,Credit card (automatic),49.70,2256.47,No
